Crop,Waste_Type,Recommended_Product,Conversion_Efficiency(%),CO2_Savings(kg_per_ton),Market_Value(₹_per_ton),Energy_Output(MJ/kg),Processing_Time(days),Typical_Use_Case_Notes
Sugarcane,Bagasse,Animal Feed,64.63,163.11,3424.08,2.12,19,Bagasse from Sugarcane often used for animal feed in rural processors
Sugarcane,Sugarcane Trash,Compost,61.04,150.75,1553.07,1.05,8,Sugarcane Trash from Sugarcane often used for compost in rural processors
Groundnut,Groundnut Shell,Compost,80.62,80.91,3111.64,2.52,15,Groundnut Shell from Groundnut often used for compost in rural processors
Jute,Jute Leaves,Compost,67.54,94.31,2259.85,2.41,13,Jute Leaves from Jute often used for compost in rural processors
Jute,Jute Leaves,Compost,85.54,216.24,2257.07,1.84,19,Jute Leaves from Jute often used for compost in rural processors
Maize,Maize Stalk,Biogas,74.66,141.02,2926.04,5.32,4,Maize Stalk from Maize often used for biogas in rural processors
Banana,Banana Peel,Biogas,59.73,165.67,3184.58,9.45,8,Banana Peel from Banana often used for biogas in rural processors
Maize,Maize Cob,Animal Feed,77.22,94.27,2909.42,3.67,10,Maize Cob from Maize often used for animal feed in rural processors
Banana,Banana Stem,Compost,68.02,124.16,2035.48,0.58,8,Banana Stem from Banana often used for compost in rural processors
Jute,Jute Stick,Animal Feed,72.47,150.0,2142.89,5.42,6,Jute Stick from Jute often used for animal feed in rural processors
Banana,Banana Stem,Biofuel,89.24,163.86,6990.15,13.99,18,Banana Stem from Banana often used for biofuel in rural processors
Cotton,Cotton Stalk,Compost,90.14,102.4,2860.96,0.88,4,Cotton Stalk from Cotton often used for compost in rural processors
Groundnut,Groundnut Stover,Briquettes,91.9,314.22,6443.12,15.29,2,Groundnut Stover from Groundnut often used for briquettes in rural processors
Sugarcane,Sugarcane Trash,Briquettes,68.01,210.74,6815.26,14.35,10,Sugarcane Trash from Sugarcane often used for briquettes in rural processors
Rice,Paddy Straw,Briquettes,87.73,159.78,4495.66,15.08,7,Paddy Straw from Rice often used for briquettes in rural processors
Wheat,Wheat Chaff,Paper Pulp,70.49,299.38,5995.0,8.57,11,Wheat Chaff from Wheat often used for paper pulp in rural processors
Banana,Banana Peel,Compost,90.73,91.99,2471.98,2.87,4,Banana Peel from Banana often used for compost in rural processors
Rice,Paddy Straw,Biofuel,90.56,225.53,5426.38,11.65,8,Paddy Straw from Rice often used for biofuel in rural processors
Banana,Banana Stem,Biofuel,91.87,207.62,5070.3,16.5,5,Banana Stem from Banana often used for biofuel in rural processors
Banana,Banana Peel,Compost,71.83,112.22,1940.43,1.97,4,Banana Peel from Banana often used for compost in rural processors
Wheat,Wheat Straw,Compost,91.69,89.92,1976.01,2.65,17,Wheat Straw from Wheat often used for compost in rural processors
Banana,Banana Peel,Animal Feed,87.74,126.17,3683.09,3.86,15,Banana Peel from Banana often used for animal feed in rural processors
Banana,Banana Peel,Compost,83.06,137.55,3227.67,1.39,3,Banana Peel from Banana often used for compost in rural processors
Sugarcane,Bagasse,Paper Pulp,88.21,168.58,4074.77,7.8,19,Bagasse from Sugarcane often used for paper pulp in rural processors
Cotton,Cotton Stalk,Biofuel,69.95,294.9,3301.54,14.63,19,Cotton Stalk from Cotton often used for biofuel in rural processors
Sugarcane,Bagasse,Animal Feed,89.97,195.66,4023.28,5.18,9,Bagasse from Sugarcane often used for animal feed in rural processors
Rice,Rice Husk,Compost,76.85,206.34,1829.27,2.66,2,Rice Husk from Rice often used for compost in rural processors
Groundnut,Groundnut Stover,Biochar,89.83,293.25,6341.17,10.85,19,Groundnut Stover from Groundnut often used for biochar in rural processors
Cotton,Cotton Stalk,Biogas,60.38,204.25,3735.02,11.78,12,Cotton Stalk from Cotton often used for biogas in rural processors
Wheat,Wheat Straw,Biofuel,78.58,151.49,6843.12,18.53,4,Wheat Straw from Wheat often used for biofuel in rural processors
Rice,Paddy Straw,Compost,83.63,96.78,3280.57,1.09,9,Paddy Straw from Rice often used for compost in rural processors
Wheat,Wheat Straw,Biofuel,82.75,183.27,4043.06,15.65,12,Wheat Straw from Wheat often used for biofuel in rural processors
Banana,Banana Stem,Biofuel,68.53,211.44,6716.07,16.46,4,Banana Stem from Banana often used for biofuel in rural processors
Wheat,Wheat Chaff,Briquettes,91.96,134.65,3852.62,19.96,10,Wheat Chaff from Wheat often used for briquettes in rural processors
Rice,Rice Husk,Biofuel,88.74,151.55,6334.98,13.7,11,Rice Husk from Rice often used for biofuel in rural processors
Wheat,Wheat Chaff,Animal Feed,58.63,97.03,3935.31,5.39,19,Wheat Chaff from Wheat often used for animal feed in rural processors
Rice,Rice Husk,Biochar,82.98,184.79,5927.22,15.18,10,Rice Husk from Rice often used for biochar in rural processors
Cotton,Cotton Gin Waste,Biochar,61.93,322.46,3389.57,14.34,12,Cotton Gin Waste from Cotton often used for biochar in rural processors
Rice,Rice Husk,Briquettes,85.01,205.54,3038.68,15.52,4,Rice Husk from Rice often used for briquettes in rural processors
Rice,Paddy Straw,Briquettes,80.73,145.49,4233.03,11.48,3,Paddy Straw from Rice often used for briquettes in rural processors
